"Story","Title","Result","Date","Stability","Duration (s)"
"Students CRUD test","This test will create a new student","SUCCESS","2021-02-04T15:38:39.401157-06:00[America/Mexico_City]","0.0","0.57"
"Students CRUD test","Verify if the student was added to the application","SUCCESS","2021-02-04T15:38:39.9711623-06:00[America/Mexico_City]","0.0","1.24"
"Students CRUD test","Update the user information and verify the updated information!","SUCCESS","2021-02-04T15:38:41.2106403-06:00[America/Mexico_City]","0.0","0.68"
"Students CRUD test","Delete the student and verify if the student is deleted!","SUCCESS","2021-02-04T15:38:41.8961283-06:00[America/Mexico_City]","0.0","0.49"
